,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
0,"                                133,660,253                            ",                                0.47%                            ,"                                SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD. (A #600000)                            ",                                90000                            
1,"                                65,070,080                            ",                                4.55%                            ,"                                GUANGZHOU BAIYUN INTERNATIONAL AIRPORT CO.,LTD. (A #600004)                            ",                                90004                            
2,"                                188,231                            ",                                0.00%                            ,"                                DONGFENG AUTOMOBILE CO.,LTD (A #600006)                            ",                                90006                            
3,"                                8,320,670                            ",                                0.82%                            ,                                CHINA WORLD TRADE CENTER COMPANY LTD. (A #600007)                            ,                                90007                            
4,"                                47,183,886                            ",                                0.97%                            ,"                                BEIJING CAPITAL CO.,LTD (A #600008)                            ",                                90008                            
5,"                                303,662,370                            ",                                27.77%                            ,"                                SHANGHAI INTERNATIONAL AIRPORT CO., LTD. (A #600009)                            ",                                90009                            
6,"                                40,078,544                            ",                                0.18%                            ,"                                INNER MONGOLIA BAOTOU STEEL UNION CO.,LTD. (A #600010)                            ",                                90010                            
7,"                                7,588,902                            ",                                0.07%                            ,"                                HUANENG POWER INTERNATIONAL, INC. (A #600011)                            ",                                90011                            
8,"                                2,044,270                            ",                                0.17%                            ,                                ANHUI EXPRESSWAY COMPANY LIMITED (A #600012)                            ,                                90012                            
9,"                                17,317,984                            ",                                0.13%                            ,"                                HUA XIA BANK CO., LIMITED (A #600015)                            ",                                90015                            
10,"                                170,851,460                            ",                                0.57%                            ,"                                CHINA MINSHENG BANKING CORP., LTD. (A #600016)                            ",                                90016                            
11,"                                39,088,798                            ",                                1.27%                            ,"                                RIZHAO PORT CO.,LTD. (A #600017)                            ",                                90017                            
12,"                                33,420,768                            ",                                0.14%                            ,"                                SHANGHAI INTERNATIONAL PORT (GROUP) CO., LTD (A #600018)                            ",                                90018                            
13,"                                233,993,919                            ",                                1.05%                            ,"                                BAOSHAN IRON & STEEL CO., LTD. (A #600019)                            ",                                90019                            
14,"                                13,343,782                            ",                                0.59%                            ,                                HENAN ZHONGYUAN EXPRESSWAY COMPANY LIMITED (A #600020)                            ,                                90020                            
15,"                                3,106,154                            ",                                0.14%                            ,                                SHANGHAI ELECTRIC POWER COMPANY LIMITED (A #600021)                            ,                                90021                            
16,"                                16,276,582                            ",                                0.11%                            ,"                                ZHEJIANG ZHENENG ELECTRIC POWER CO.,LTD (A #600023)                            ",                                90023                            
17,"                                2,371,681                            ",                                0.08%                            ,"                                COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD. (A #600026)                            ",                                90026                            
18,"                                6,166,039                            ",                                0.09%                            ,                                HUADIAN POWER INTERNATIONAL CORPORATION LIMITED (A #600027)                            ,                                90027                            
19,"                                354,373,586                            ",                                0.37%                            ,                                CHINA PETROLEUM AND CHEMICAL CORPORATION (A #600028)                            ,                                90028                            
20,"                                19,976,454                            ",                                0.28%                            ,                                CHINA SOUTHERN AIRLINES COMPANY LIMITED (A #600029)                            ,                                90029                            
21,"                                132,718,216                            ",                                1.35%                            ,                                CITIC SECURITIES COMPANY LIMITED (A #600030)                            ,                                90030                            
22,"                                206,398,854                            ",                                2.71%                            ,"                                SANY HEAVY INDUSTRY CO.,LTD (A #600031)                            ",                                90031                            
23,"                                7,266,258                            ",                                0.26%                            ,                                FUJIAN EXPRESSWAY DEVELOPMENT COMPANY LIMITED (A #600033)                            ,                                90033                            
24,"                                267,483,818                            ",                                1.29%                            ,"                                CHINA MERCHANTS BANK CO.,LIMITED (A #600036)                            ",                                90036                            
25,"                                4,439,389                            ",                                0.37%                            ,"                                BEIJING GEHUA CATV NETWORK CO., LTD. (A #600037)                            ",                                90037                            
26,"                                3,506,608                            ",                                0.59%                            ,                                AVICOPTER PLC (A #600038)                            ,                                90038                            
27,"                                8,633,620                            ",                                0.28%                            ,"                                SICHUAN ROAD & BRIDGE CO.,LTD (A #600039)                            ",                                90039                            
28,"                                141,697,573                            ",                                1.20%                            ,"                                POLY REAL ESTATE GROUP CO.,LTD (A #600048)                            ",                                90048                            
29,"                                85,504,459                            ",                                0.40%                            ,                                CHINA UNITED NETWORK COMMUNICATIONS LIMITED (A #600050)                            ,                                90050                            
30,"                                682,721                            ",                                0.15%                            ,"                                KUNWU JIUDING INVESTMENT HOLDINGS CO., LTD (A #600053)                            ",                                90053                            
31,"                                9,584,460                            ",                                1.86%                            ,"                                HUANGSHAN TOURISM DEVELOPMENT CO.,LTD. (A #600054)                            ",                                90054                            
32,"                                5,019,844                            ",                                0.49%                            ,"                                CHINA MEHECO CO., LTD. (A #600056)                            ",                                90056                            
33,"                                177,950                            ",                                0.01%                            ,"                                MINMETALS DEVELOPMENT CO., LTD. (A #600058)                            ",                                90058                            
