,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
0,"                                11,700,718                            ",                                0.30%                            ,                                CK HUTCHISON HOLDINGS LIMITED                            ,                                    1                            
1,"                                3,157,300                            ",                                0.11%                            ,                                CLP HOLDINGS LIMITED                            ,                                    2                            
2,"                                17,200,763                            ",                                0.11%                            ,"                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE                            ",                                    3                            
3,"                                2,952,000                            ",                                0.09%                            ,"                                WHARF (HOLDINGS) LIMITED, THE                            ",                                    4                            
4,"                                1,006,125,660                            ",                                4.94%                            ,                                HSBC HOLDINGS PLC                            ,                                    5                            
5,"                                7,203,000                            ",                                0.33%                            ,                                POWER ASSETS HOLDINGS LIMITED                            ,                                    6                            
6,"                                6,471,323                            ",                                0.07%                            ,                                PCCW LIMITED                            ,                                    8                            
7,"                                1,028,000                            ",                                0.06%                            ,                                HANG LUNG GROUP LIMITED                            ,                                   10                            
8,"                                1,781,300                            ",                                0.09%                            ,                                HANG SENG BANK LTD                            ,                                   11                            
9,"                                4,576,114                            ",                                0.11%                            ,                                HENDERSON LAND DEVELOPMENT CO LTD                            ,                                   12                            
10,"                                801,000                            ",                                0.07%                            ,                                HYSAN DEVELOPMENT COMPANY LIMITED                            ,                                   14                            
11,"                                4,584,338                            ",                                0.15%                            ,                                SUN HUNG KAI PROPERTIES LTD                            ,                                   16                            
12,"                                30,217,339                            ",                                0.30%                            ,                                NEW WORLD DEVELOPMENT CO LTD                            ,                                   17                            
13,"                                1,249,000                            ",                                0.13%                            ,                                SWIRE PACIFIC LTD 'A'                            ,                                   19                            
14,"                                995,572                            ",                                0.04%                            ,                                WHEELOCK AND COMPANY LIMITED                            ,                                   20                            
15,"                                3,644,878                            ",                                0.13%                            ,                                BANK OF EAST ASIA LTD                            ,                                   23                            
16,"                                23,322,222                            ",                                0.53%                            ,                                GALAXY ENTERTAINMENT GROUP LIMITED                            ,                                   27                            
17,"                                1,150,154                            ",                                0.05%                            ,                                FAR EAST CONSORTIUM INTERNATIONAL LTD                            ,                                   35                            
18,"                                60,032,100                            ",                                15.31%                            ,                                FIRST TRACTOR COMPANY LIMITED                            ,                                   38                            
19,"                                747,049                            ",                                0.10%                            ,                                GREAT EAGLE HOLDINGS LIMITED                            ,                                   41                            
20,"                                19,536,000                            ",                                7.57%                            ,                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED                            ,                                   42                            
21,"                                2,924,000                            ",                                0.00%                            ,                                C.P. POKPHAND CO LTD                            ,                                   43                            
22,"                                44,000                            ",                                0.00%                            ,                                HOPEWELL HOLDINGS LIMITED                            ,                                   54                            
23,"                                3,269,466                            ",                                0.05%                            ,                                MTR CORPORATION LIMITED                            ,                                   66                            
24,"                                32,018,000                            ",                                0.88%                            ,                                SHANGRI-LA ASIA LIMITED                            ,                                   69                            
25,"                                25,400,693                            ",                                1.11%                            ,                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED                            ,                                   81                            
26,"                                6,590,202                            ",                                0.10%                            ,                                SINO LAND CO.LTD.                            ,                                   83                            
27,"                                3,233,000                            ",                                0.14%                            ,                                SUN HUNG KAI & CO.LTD                            ,                                   86                            
28,"                                16,756,000                            ",                                0.35%                            ,                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED                            ,                                   95                            
29,"                                5,106,000                            ",                                0.11%                            ,                                HANG LUNG PROPERTIES LIMITED                            ,                                  101                            
30,"                                213,388,000                            ",                                23.83%                            ,                                SICHUAN EXPRESSWAY COMPANY LIMITED                            ,                                  107                            
31,"                                60,600,000                            ",                                0.84%                            ,                                GOOD RESOURCES HOLDINGS LIMITED                            ,                                  109                            
32,"                                172,000                            ",                                0.02%                            ,                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED                            ,                                  116                            
